miejscowosc,lat,lon
Arena Małujowice (Małujowice 29),50.82,17.55
Biała,50.3844,17.66
Bogacica,50.94,18.2
Boisko sportowe (Dytmarów 28),50.3,17.65
Branice,50.05,17.8
Brożec,50.8,17.4
Brzeg,50.8607,17.4675
Byczyna,51.1097,18.2144
Błotnica Strzelecka,50.55,18.25
CZARNOWASY,50.7181,17.92
Chocianowice,50.95,18.1
Chocianowice Arena (Chocianowice 99A),50.95,18.1
Chrząstowice,50.6644,18.0603
Chróścice,50.79,17.85
Cisek,50.28,18.19
Dobrzeń Wielki,50.7539,17.8483
Dziergowice,50.25,18.28
Dąbrowa,50.65,17.75
GKS WIDAWA WILKÓW (Lubska),50.9,17.55
GRODKÓW,50.6953,17.3808
Gogolin,50.49,18.04
Gorzów Śląski,50.9583,18.3961
Gościęcin,50.25,18.05
Grodków,50.6953,17.3808
Grodziec,50.9,18.25
Głogówek,50.355,17.8656
Jemielnica,50.55,18.28
KIETRZ,50.0783,18.0072
KRAPKOWICE,50.4756,17.9647
KROŚNICA,50.1,18.0
Kadłub,50.55,18.28
Kietrz,50.0783,18.0072
Kluczbork,50.9709,18.2179
Kobylice,50.3,18.1
Kolonowskie,50.6539,18.3428
Komprachcice,50.6231,17.8378
Korfantów,50.4589,17.5622
Kościerzyce,50.8,17.5
Krapkowice,50.4756,17.9647
Krasiejów,50.65,18.25
Kujawy,50.3,18.0
Kędzierzyn - Koźle,50.3494,18.2263
Kędzierzyn-Koźle,50.3494,18.2263
Kępa,50.68,17.98
LKS Prosna Zdziechowice (Zdziechowice 15),51.0,18.45
LZS KS Polonia Przylesie (Przylesie 155),50.8,17.5
LZS POLSKI ŚWIĘTÓW (Polski Świętów 62),50.4,17.2
LZS Polski Świętów (Polski Świętów),50.4,17.2
Lewin Brzeski,50.7481,17.6172
Ligota Oleska,50.85,18.35
Lubin,51.4,16.2
Luboszyce,50.73,17.96
Mechnice,50.63,17.85
NULL,,
Namysłów,51.0753,17.7208
Niemodlin,50.6417,17.6208
Nysa,50.4741,17.3342
OLESNO,50.8703,18.4176
Olesno,50.8703,18.4176
Olszanka,50.75,17.45
Opole,50.6751,17.9213
Osowiec,50.62,18.12
PACZKÓW,50.4636,17.0011
Praszka,51.0522,18.4553
Prudnik,50.3219,17.5772
Prószków,50.5772,17.8656
Rudniki,51.03,18.6
Skarbimierz,50.85,17.55
Skorogoszcz,50.7,17.65
Strzelce Opolskie,50.5106,18.3016
Strzeleczki,50.47,17.83
Szczedrzyk,50.68,18.15
Tarnów Op.,50.5806,18.095
Ujazd,50.3839,18.3506
WROCŁAW,51.1079,17.0385
Wieluń,51.2206,18.5697
Wilków,51.05,17.6
Wrocław,51.1079,17.0385
Zawadzkie,50.6069,18.4711
Zdzieszowice,50.4239,18.1256
Łambinowice,50.5289,17.53
Łąka Prudnicka,50.35,17.55
ŚCIBOR (Ściborzyce Wielkie 138),50.1,18.05
Źlinice,50.55,17.9
